År,Måned,Dag,Fra_time,Volum til SNTR,Volum til DNP,Volum totalt
2016,1,5,0,9,17,26
2016,1,5,1,6,9,15
2016,1,5,2,15,8,23
2016,1,5,3,6,7,13
2016,1,5,4,19,6,25
2016,1,5,5,109,65,174
2016,1,5,6,288,196,484
2016,1,5,7,366,189,555
2016,1,5,8,217,145,362
2016,1,5,9,206,143,349
2016,1,5,10,193,183,376
2016,1,5,11,205,179,384
2016,1,5,12,198,171,369
2016,1,5,13,223,215,438
2016,1,5,14,304,345,649
2016,1,5,15,262,302,564
2016,1,5,16,168,181,349
2016,1,5,17,158,141,299
2016,1,5,18,160,130,290
2016,1,5,19,118,125,243
2016,1,5,20,85,87,172
2016,1,5,21,71,106,177
2016,1,5,22,35,33,68
2016,1,5,23,19,25,44
