År,Måned,Dag,Fra_time,Volum til SNTR,Volum til DNP,Volum totalt
2015,12,16,11,265,232,497
2015,12,16,12,243,223,466
2015,12,16,13,251,289,540
2015,12,16,14,369,409,778
2015,12,16,15,283,365,648
2015,12,16,16,219,200,419
2015,12,16,17,180,160,340
2015,12,16,18,162,211,373
2015,12,16,19,119,142,261
2015,12,16,20,77,126,203
2015,12,16,21,66,357,423
2015,12,16,22,44,312,356
2015,12,16,23,25,39,64
2015,12,17,0,17,39,56
2015,12,17,1,14,25,39
2015,12,17,2,10,31,41
2015,12,17,3,7,35,42
2015,12,17,4,21,20,41
2015,12,17,5,110,73,183
2015,12,17,6,274,203,477
2015,12,17,7,481,233,714
2015,12,17,8,267,181,448
2015,12,17,9,252,181,433
2015,12,17,10,242,226,468
2015,12,17,11,266,217,483
2015,12,17,12,256,261,517
2015,12,17,13,248,309,557
2015,12,17,14,369,429,798
2015,12,17,15,333,387,720
2015,12,17,16,235,226,461
2015,12,17,17,199,200,399
2015,12,17,18,175,184,359
2015,12,17,20,121,124,245
2015,12,17,21,69,76,145
2015,12,17,22,59,70,129
2015,12,17,23,25,43,68
2015,12,18,0,28,38,66
2015,12,18,1,12,39,51
2015,12,18,2,13,41,54
2015,12,18,3,8,20,28
2015,12,18,4,27,18,45
2015,12,18,5,109,77,186
2015,12,18,6,267,188,455
2015,12,18,7,408,191,599
2015,12,18,8,275,180,455
2015,12,18,9,232,192,424
2015,12,18,10,276,197,473
2015,12,18,11,267,245,512
2015,12,18,12,308,276,584
2015,12,18,13,320,357,677
2015,12,18,14,388,431,819
2015,12,18,15,295,394,689
2015,12,18,16,352,241,593
2015,12,18,17,189,203,392
2015,12,18,18,157,162,319
2015,12,18,19,113,154,267
2015,12,18,20,78,88,166
2015,12,18,21,55,62,117
2015,12,18,22,66,83,149
2015,12,18,23,37,52,89
2015,12,19,0,28,47,75
2015,12,19,1,22,40,62
2015,12,19,2,17,40,57
2015,12,19,3,16,31,47
2015,12,19,4,20,13,33
2015,12,19,5,27,25,52
2015,12,19,6,26,22,48
2015,12,19,7,42,34,76
2015,12,19,8,58,57,115
2015,12,19,9,94,69,163
2015,12,19,10,162,126,288
2015,12,19,11,194,152,346
2015,12,19,12,165,166,331
2015,12,19,13,198,221,419
2015,12,19,14,208,182,390
2015,12,19,15,156,150,306
2015,12,19,16,154,158,312
2015,12,19,17,126,153,279
2015,12,19,18,145,144,289
2015,12,19,19,91,99,190
2015,12,19,20,60,90,150
2015,12,19,21,41,72,113
2015,12,19,22,40,72,112
2015,12,19,23,44,61,105
2015,12,20,0,48,68,116
2015,12,20,1,36,38,74
2015,12,20,2,23,58,81
2015,12,20,3,25,50,75
2015,12,20,4,20,26,46
2015,12,20,5,21,14,35
2015,12,20,6,16,22,38
2015,12,20,7,21,19,40
2015,12,20,8,33,35,68
2015,12,20,9,91,47,138
2015,12,20,10,104,85,189
2015,12,20,11,166,132,298
2015,12,20,12,169,151,320
2015,12,20,13,222,194,416
2015,12,20,14,178,207,385
2015,12,20,15,178,166,344
2015,12,20,16,146,114,260
2015,12,20,17,116,123,239
2015,12,20,18,158,149,307
2015,12,20,19,137,151,288
2015,12,20,20,102,117,219
2015,12,20,21,62,60,122
2015,12,20,22,43,66,109
2015,12,20,23,21,39,60
2015,12,21,0,15,25,40
2015,12,21,1,12,13,25
2015,12,21,2,12,11,23
2015,12,21,3,9,16,25
2015,12,21,4,28,24,52
2015,12,21,5,105,92,197
2015,12,21,6,254,185,439
2015,12,21,7,347,202,549
2015,12,21,8,235,153,388
2015,12,21,9,248,213,461
2015,12,21,10,295,244,539
2015,12,21,11,282,257,539
2015,12,21,12,299,336,635
2015,12,21,13,318,367,685
2015,12,21,14,364,444,808
2015,12,21,15,338,443,781
2015,12,21,16,231,248,479
2015,12,21,17,161,200,361
2015,12,21,18,145,224,369
2015,12,21,19,136,174,310
2015,12,21,20,111,123,234
2015,12,21,21,78,85,163
2015,12,21,22,51,77,128
2015,12,21,23,19,38,57
2015,12,22,0,12,32,44
2015,12,22,1,5,17,22
2015,12,22,2,13,21,34
2015,12,22,3,8,12,20
2015,12,22,4,12,16,28
2015,12,22,5,87,57,144
2015,12,22,6,234,163,397
2015,12,22,7,335,185,520
2015,12,22,8,254,169,423
2015,12,22,9,253,229,482
2015,12,22,10,262,256,518
2015,12,22,11,244,265,509
2015,12,22,12,290,275,565
2015,12,22,13,310,325,635
